Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,9379.86,9184.82,8769.85,8778.29,9010.35,8241.93,9037.53,9499.62,9291.64,9597.95,10103.74,9843.44,10012.89,8604.98,9973.04,9792.92,9838,8356.85,8515.52,9030.5,8845.9,9758.15,10123.35,9886.84,10304.41,9914.49,9944.9,11289.98,10161.51,9235.32,9224.66,
Austria,1776.27,1757.35,1681.36,1649.6,1639.18,1645.32,1626.64,1655.04,1655.22,1616.85,1570.21,1573.52,1566.81,1490.18,1477.57,1468.29,1458.08,1467.22,1563.41,1515.4,1412.02,1510.4,1479.92,1460.37,1540.1,1534.86,1604.54,1537.51,1501.14,1477.24,1491.8,1499.62
Belarus,11098.34,10892.17,9773.84,10076.58,8280.09,7833.77,8198.13,8511.47,8791.6,7878.92,7890.85,7673.97,7317.92,7722.84,7912,8188.32,8471.57,8306.35,8705.01,8971.77,8768.53,9129.6,8892.86,8794.2,8438.66,8366.97,8471.27,8592.09,8514.2,8528.04,8882.95,8885.76
Belgium,2978.67,2946.46,2971.25,2986.37,2898.27,2982.22,2971.28,3034.01,2907.71,3047.81,2778.66,2656.26,2719.37,2623.31,2627.64,2544.23,2414.28,2441.97,2371.56,2426.28,2362.55,2347.56,2269,2303.17,2389.3,2331.35,2213.01,2363.63,2255.58,2315.7,2281.76,2261.32
Bulgaria,3618.84,2766.93,2241.41,2042.79,2046.55,1702.01,1587.12,1705.19,1420.66,1609.99,1506.94,1603.02,1630.97,1443.25,1773.32,1623.18,1566.37,1520.29,1741.06,1705.6,2054.91,1808.5,1942.45,2249.46,2556.85,2601.49,2861.28,2867.34,2783.49,2811.92,2732.14,2785.06
Canada,8730.29,8486.46,8807.36,9279.82,9465.83,9635.17,10070.55,10193.48,10492.7,10359.87,10284.74,10030.47,9763.29,10603.39,10314.89,10068.39,10216.2,10762.97,11221.17,11163.6,11526.45,11608.8,12917.23,13919.99,13207.43,14206.22,14445.59,13719.71,14606.5,14690.9,16037.29,14844.6
Croatia,952.3,946.07,876.14,748.08,750.86,730.8,737.99,850.72,743.56,791.01,802.21,857.01,839.22,783.31,840.01,856.63,864.79,856.11,1063.77,716.23,771.16,832.4,755.66,649.97,614.58,667.91,635.81,721.06,731.32,728.78,744.48,751.58
Cyprus,40.25,38.06,47.17,50.5,45.66,53.69,45.74,38.31,44.25,43.32,39.09,47.4,47.17,47.53,43.81,37.75,40.74,37.77,34.88,34.54,38.08,35.8,36.12,31.82,28.84,33.72,31.34,32.85,32.15,34.21,34.93,33.49
Czechia,3518.63,2982.29,2404.73,2175.53,2091.89,2234.01,2086.71,2089.74,2001.95,1990.89,2195.94,2419.44,2241.93,1927.99,2305.37,2227.66,2221.98,2337.51,2406.93,2007.05,2043.63,2475.06,2411.38,2364.77,2446.47,2671.17,2808.88,2690.3,2464.13,2443.51,2288.52,2384.61
Denmark,4245.65,4129.23,3967.75,3816.38,3726.24,3739.42,3586.43,3614.51,3573.05,3442.53,3452.27,3396.3,3355.83,3309.26,3311.73,3326.98,3277.91,3357.18,3465.25,3449.31,3288.84,3352.76,3311.94,3310.94,3436.88,3369.43,3501.58,3556.76,3335.59,3538.94,3621.48,3370.31
Estonia,799.97,786.36,660.77,515.39,461.74,411.39,385.24,392.18,411.41,356.25,377.67,356.8,336,361.45,385.88,388.13,379.28,413.12,452.57,415.59,416.88,430.18,465.36,460.89,483.48,508.03,483.24,503.14,491.55,543.62,548.62,548.37
European Union (Convention),116773.51,108751.28,102712.42,100182.12,98923.12,99381.11,100016.91,100818.88,99972.01,99661.92,98107.61,98110.16,95833.81,93147.02,95796.14,93734.82,92716.41,93159.62,93843.86,90983.16,90193.82,91175.96,91076.21,92774.56,95280.14,94512.66,95161.6,96979.77,95713.69,94349.57,94885.31,94410.38
Finland,2906.15,2833.34,2622.84,2679.33,2687.65,2692.88,2697.39,2716.34,2648.6,2631.08,2698.45,2645.07,2633.93,2656.54,2677.87,2689.92,2655.88,2683.86,2767.51,2688.76,2752.61,2716.59,2702.75,2690.8,2753.88,2776.63,2772.51,2768.68,2741.54,2893.06,2867.31,2829.17
France,17797.81,17735.38,17857.06,16993.26,16191.32,16339.66,16849.11,17162.68,17293.58,17538.86,17876.27,17587.05,17309.57,16049.73,16972.37,16787.19,16368.43,16452.78,17032.91,16524.47,15504.64,15807.12,16077.42,15622.5,16344.29,16015.21,15692.62,16182.35,15897.72,15364.54,14749.86,14815.58
Germany,15015.71,14165.58,13918.76,13559.98,13134.46,13214.52,13423.82,13426.24,13580.96,13793.35,13728.61,13777.67,13354.35,13162.47,13432.61,13362.04,13077.19,13220.89,13202.42,13324.1,13188.79,13363.1,13615.87,13654.32,14111.7,13970.95,13882.24,13633.17,12958,12808.13,12609,12471.34
Greece,3319.91,3339.89,3197.6,2837.63,2754.73,2886.61,2914.02,2851.88,2842.01,2780.89,2700.52,2666.51,2634.16,2586.16,2629.44,2490.17,2413.85,2506,2387.8,2263.9,2404.34,2267.85,2225.22,2238.89,2081.02,2040.76,2102.82,2139.86,2058.48,2089.67,2143.95,2062.39
Hungary,3085.84,2250.54,1918.85,1795.15,2120.9,1966.82,2004.65,2076.78,2229.04,2227.02,2136.81,2406.2,2406.7,2250.35,2586.82,2393.01,2441.05,2392.7,2562.88,2325.99,2270.67,2444.31,2385.21,2655.39,2786.48,2861.18,3092.44,3092.39,3102.74,3085.61,3200.69,3191.58
Iceland,169.65,167.76,163.55,166.86,170.92,167.16,173.34,171.42,174.44,178.36,177.12,176.61,171.34,168.97,168.76,168.63,180.81,187.95,194.76,182.3,177.04,175.47,181.09,177.67,192.19,180.97,178.17,186.11,178.7,171.43,175.09,178.51
Ireland,4097.12,4057.57,3964.77,4106.78,4280.57,4482.48,4476.21,4311.74,4596.18,4606.2,4398.67,4189.25,4149.01,4315.55,4209.16,4104.11,4028.87,3879.51,3760.05,3645.24,3888.79,3557.26,3688.96,4040.1,3867.4,3865.09,3892.73,4121.73,4363.29,4087.83,4126.51,4320.3
Italy,7754.68,8250.63,8477.25,8796.08,8673.32,8584.61,8487.44,8884.11,8569.62,8689.79,8422.44,8389.17,8327.25,8063.89,8270.85,7983.86,7928.94,7848.78,7303.72,6826.85,6660.61,6902.23,7174.47,6750.9,6867.18,6728.26,7058.1,6809,6814.89,6789.36,7531.46,7217.74
Japan,4347.57,4244.03,4194.26,4269.49,4172.92,3988.9,3912.54,3862.06,3835.84,3825.66,3845.51,3731.18,3710.54,3699.01,3626.4,3617.34,3585.89,3793.54,3315.26,3194.03,3419.43,3352.64,3356.03,3378.24,3338.94,3355.07,3334.32,3360.68,3339.2,3288.48,3285.3,3286.61
Kazakhstan,9729.7,13252.06,18538.58,21402.36,23860.86,27371.3,30971.14,34991.16,39195.94,44202.34,53279.42,46943.94,40572.7,34195.5,27773.6,21408.32,15114.56,14664.58,13794.42,13347.42,12390.84,12048.14,11055.8,10388.28,10868.06,11344.86,11785.9,12346.14,12742.48,12960.02,13708,13851.04
Latvia,1436.18,1333.02,1037.4,814.49,729.99,632.88,641,647.8,627.02,592.59,602.92,643.21,614.66,640,624.98,650.03,641.55,666.51,660.58,677.35,699.03,697.32,743.29,762.35,789.35,825.46,829.31,831.19,791.8,863.79,896.35,887.51
Liechtenstein,4.2,4.24,4.16,4.06,4.02,3.95,3.91,3.91,3.77,3.71,3.67,3.77,3.9,3.91,3.87,3.92,3.99,4,4.04,3.98,3.86,4.11,3.98,3.85,3.88,3.93,3.86,3.84,3.94,3.97,3.96,3.91
Lithuania,2296.18,2399.22,1548.89,1270.77,1186.98,1146.33,1314.55,1335,1321.67,1280.96,1278.47,1254.45,1307.36,1310.61,1322.16,1331.91,1300.71,1399.03,1378.22,1462.71,1462.68,1508.55,1573.85,1570.29,1666.36,1727.08,1715.17,1736.57,1664.47,1706.4,1879.67,1714.86
Luxembourg,123.85,127.17,130.5,124.33,120.07,120.7,121.93,120,118.48,120.72,118.59,108.86,109.59,97.99,111.78,103.92,103.39,101.89,103.95,103.49,105,106.03,102.86,102.45,102.46,102.39,105.9,107.19,104.39,104.69,101.66,103.46
Malta,16.92,16.38,16.76,17.08,17.11,16.8,16.56,17.29,17.08,17.49,17.27,17.28,16.78,16.68,16.94,15.96,15.83,16.29,16.87,17.21,17.89,17.97,18.57,19.16,19.74,20.23,20.92,21.43,19.93,21.54,22.7,21.83
Netherlands,6287.99,6356.45,6778.67,6558.75,6436.54,6703.01,6734.98,6605.03,6199.34,5968.3,5382.53,5163.57,4676.64,4576.32,4397.28,4323.36,4432.98,4172.99,4096.39,3906.58,3891.06,3695.71,3566.15,3765.99,3796.87,3895.34,3765.77,3892.86,3828.58,3759.63,3771.78,3650.76
New Zealand,4059.93,4129.07,4159.57,4341.06,4492.98,4685.62,4748.27,4791.8,4744.57,4755.82,4975.39,5273.62,5330.08,5510,5590.01,5625.31,5430.16,5303.52,5318.18,5329.74,5445.6,5555.18,5596.6,5615.35,5855.14,5784.48,5831.01,5882.97,5969.13,5986.72,6092.7,5906
Norway,1250.7,1245.35,1240.71,1236.93,1225.05,1238.6,1252.27,1252.42,1257.35,1240.53,1240.91,1211.37,1210.11,1234.99,1241.81,1239.93,1221.33,1231.42,1218.56,1180.73,1138.72,1171.95,1175.67,1189.69,1224.7,1242.47,1240.68,1227.55,1218,1248.84,1247.99,1259.97
Poland,14719.51,12013.41,10769.3,11086.28,10972.04,11312.96,11130.78,11228.07,11362.75,10975.14,10712.41,10807.23,10369.07,10052.17,10463.19,10387.94,10690.95,11187.77,11439.74,11262.76,10803.99,11073.16,11096.51,11427.76,11271.35,10735.64,10995.06,11614.13,11569.22,10854.37,11408.4,11370.55
Portugal,1599.82,1590.64,1566.71,1561.14,1576.07,1553.69,1655.92,1655.08,1605.64,1632.09,1730.41,1671.63,1693.51,1591.94,1749.6,1446.89,1387.93,1500.86,1474.09,1448.56,1455.2,1453.24,1508.61,1545.23,1632.36,1578.52,1535.51,1543.49,1556.32,1598.74,1597.76,1551.63
